1 0.182337 0.187521 0.183365 0.180427 0.181722 0.182792 0.179776 0.180332 0.181683 0.209076 0.221922 0.20671 0.189443 0.184898 0.183435 
2 0.153124 0.14971 0.148453 0.150684 0.146792 0.151556 0.156258 0.155094 0.148775 0.154511 0.150902 0.145582 0.152977 0.145847 0.144948 
3 0.135519 0.132375 0.133915 0.135464 0.134179 0.137532 0.138483 0.13812 0.134181 0.133387 0.135471 0.135951 0.139915 0.143728 0.135156 
4 0.132183 0.12901 0.130876 0.132347 0.128644 0.128332 0.128625 0.137917 0.136622 0.131528 0.132152 0.13273 0.137929 0.133587 0.128152 
5 0.134785 0.12908 0.13008 0.124427 0.139595 0.15995 0.130211 0.126978 0.142826 0.14309 0.134098 0.131079 0.132431 0.127276 0.139443 
6 0.127225 0.133382 0.136333 0.134991 0.134626 0.128447 0.134498 0.134644 0.136204 0.134712 0.130084 0.131407 0.128116 0.127714 0.135619 
7 0.130327 0.135194 0.130031 0.129311 0.131604 0.13385 0.132873 0.133025 0.131598 0.131902 0.131448 0.149838 0.130849 0.131735 0.131076 
8 0.126854 0.127409 0.132003 0.130935 0.129207 0.129216 0.12922 0.127742 0.12919 0.129232 0.129278 0.129639 0.130028 0.125984 0.129166 
9 0.124968 0.125708 0.124432 0.124267 0.126024 0.129574 0.125307 0.1255 0.131536 0.129825 0.127198 0.134715 0.126919 0.126706 0.125904 
10 0.12829 0.124531 0.137146 0.125824 0.127753 0.124705 0.129917 0.124375 0.127708 0.125591 0.125813 0.125474 0.124792 0.127157 0.125714 
11 0.127906 0.125245 0.12296 0.123278 0.122229 0.129915 0.128019 0.124756 0.132904 0.128708 0.127799 0.132499 0.134811 0.122411 0.124662 
12 0.126047 0.122882 0.123446 0.133993 0.124324 0.122549 0.122584 0.130737 0.121481 0.124992 0.134288 0.127026 0.130017 0.132126 0.123581 
