1 22.1146 21.8755 21.221 21.3793 21.5983 21.4969 21.5431 21.6141 21.5116 22.0217 21.4984 21.4676 21.7663 21.8841 22.1446 
2 17.4503 17.3901 17.6718 17.6528 18.1 17.7608 18.1091 18.1413 17.6741 17.757 18.0963 17.4064 17.5846 17.686 17.7734 
3 16.1465 16.5129 16.5335 16.4364 17.0802 16.3323 17.3278 16.8909 16.5379 17.2635 16.6875 17.2686 16.6383 16.8411 16.5082 
4 15.8651 16.5248 16.5525 16.691 16.8644 16.8248 16.2123 16.1185 16.0943 16.8806 15.9656 16.0358 16.2565 16.2875 16.3833 
5 16.3971 16.2171 15.8897 16.1889 16.0737 16.7251 16.2348 15.9251 16.1173 16.6506 15.9215 16.3786 16.3412 16.0093 15.9191 
6 15.3928 15.3396 15.3586 15.1854 15.3028 15.3084 15.7456 15.6749 15.6822 15.7428 15.6741 15.6049 16.1323 15.7471 15.9323 
7 15.9378 15.6301 15.9731 15.7114 15.5007 15.5018 15.3442 15.2066 15.4881 15.3764 15.4202 15.7332 15.8434 15.6701 15.7679 
8 15.6615 15.3418 15.1448 15.2393 15.4532 15.4204 15.5298 15.4553 15.5087 15.5049 15.3705 15.3633 15.3304 15.3423 15.5169 
9 15.0496 14.9277 15.0074 15.0843 14.6997 15.5458 15.275 14.8684 15.2649 14.9653 15.1088 14.9696 14.7558 15.3095 15.0519 
10 14.7359 14.6727 14.5393 14.8848 14.6462 14.7636 14.52 14.7028 14.6576 14.9547 15.1505 14.6441 14.6402 14.4641 14.3973 
11 14.3805 14.4563 14.6024 14.6777 14.4532 14.2602 14.7758 14.5818 14.518 14.2017 14.4923 15.0574 14.2751 14.3721 14.3265 
12 14.1733 14.7723 14.4809 14.3226 14.2447 14.37 14.4024 15.0677 14.392 14.1646 14.0443 14.0201 14.0269 14.3764 13.9785 
