1 0.767
3 0.702
7 0.717
15 0.742
31 0.712
63 0.733
127 0.767
255 0.742
1 0.747
3 0.713
7 0.633
15 0.652
31 0.640
63 0.643
127 0.675
255 0.678
1 0.651
3 0.685
7 0.677
15 0.666
31 0.702
63 0.671
127 0.658
255 0.660
1 0.660
3 0.650
7 0.667
15 0.673
31 0.634
63 0.632
127 0.638
255 0.630
1 0.622
3 0.623
7 0.643
15 0.640
31 0.627
63 0.634
127 0.640
255 0.627
1 0.626
3 0.636
7 0.638
15 0.642
31 0.626
63 0.643
127 0.647
255 0.649
1 0.620
3 0.672
7 0.648
15 0.640
31 0.633
63 0.634
127 0.643
255 0.628
1 0.620
3 0.668
7 0.635
15 0.626
31 0.651
63 0.630
127 0.634
255 0.625
1 0.630
3 0.632
7 0.633
15 0.637
31 0.635
63 0.631
127 0.633
255 0.648
1 0.661
3 0.672
7 0.637
15 0.663
31 0.659
63 0.653
127 0.651
255 0.626
