1 0.138
3 0.144
7 0.126
15 0.125
31 0.152
63 0.143
127 0.134
255 0.149
1 0.155
3 0.119
7 0.125
15 0.128
31 0.130
63 0.131
127 0.132
255 0.125
1 0.127
3 0.124
7 0.122
15 0.122
31 0.134
63 0.135
127 0.130
255 0.138
1 0.125
3 0.125
7 0.131
15 0.124
31 0.135
63 0.125
127 0.132
255 0.128
1 0.126
3 0.119
7 0.123
15 0.127
31 0.132
63 0.126
127 0.126
255 0.126
1 0.124
3 0.122
7 0.124
15 0.121
31 0.124
63 0.128
127 0.127
255 0.125
1 0.130
3 0.121
7 0.121
15 0.121
31 0.126
63 0.129
127 0.128
255 0.131
1 0.125
3 0.119
7 0.121
15 0.123
31 0.128
63 0.124
127 0.128
255 0.127
1 0.124
3 0.123
7 0.119
15 0.120
31 0.125
63 0.128
127 0.127
255 0.139
1 0.131
3 0.124
7 0.123
15 0.126
31 0.126
63 0.131
127 0.127
255 0.126
